timestamp,error_type,cleaned_message,Source,Destination
2026-04-25 20:09:09.048372000,PFCP,pfcp heartbeat request,192.168.0.14,192.168.0.21
2026-04-25 20:09:09.048467000,PFCP,pfcp heartbeat response,192.168.0.21,192.168.0.14
2026-04-25 20:09:09.382919000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382919000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.382929000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:09.384027000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384027000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384032000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
