"No.","Time","Source","Destination","Protocol","Length","Info"
"87","20:09:08.380826000","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"88","20:09:08.380826100","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"99","20:09:09.048177000","192.168.0.21","192.168.0.14","PFCP","58","PFCP Heartbeat Request"
"100","20:09:09.048372700","192.168.0.14","192.168.0.21","PFCP","58","PFCP Heartbeat Response"
"101","20:09:09.048372700","192.168.0.14","192.168.0.21","PFCP","58","PFCP Heartbeat Request"
"102","20:09:09.048467500","192.168.0.21","192.168.0.14","PFCP","58","PFCP Heartbeat Response"
"107","20:09:09.382919100","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"108","20:09:09.382919200","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"109","20:09:09.382919200","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"110","20:09:09.382919200","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"111","20:09:09.382919300","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"112","20:09:09.382919300","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"113","20:09:09.382919300","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"114","20:09:09.382919300","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"115","20:09:09.382929000","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"116","20:09:09.382929100","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"117","20:09:09.382929100","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"118","20:09:09.382929100","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"119","20:09:09.382929100","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"120","20:09:09.382929200","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"121","20:09:09.382929200","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"122","20:09:09.384027400","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"123","20:09:09.384027400","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"124","20:09:09.384027400","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"125","20:09:09.384027500","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"126","20:09:09.384027500","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"127","20:09:09.384027500","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"128","20:09:09.384027500","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"129","20:09:09.384027600","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"130","20:09:09.384032800","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
"131","20:09:09.384032900","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"132","20:09:09.384032900","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"133","20:09:09.384032900","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"134","20:09:09.384032900","192.168.0.22","192.168.0.23","UDP","59","4997  >  51841 Len=17"
"135","20:09:09.384032900","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"136","20:09:09.384033000","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
"151","20:09:10.385445200","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"152","20:09:10.385445300","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"153","20:09:10.385445300","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"154","20:09:10.385445300","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"155","20:09:10.385445400","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"156","20:09:10.385445400","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"157","20:09:10.385445400","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"158","20:09:10.385445400","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"159","20:09:10.385455600","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"160","20:09:10.385455600","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"161","20:09:10.385455700","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"162","20:09:10.385457500","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"163","20:09:10.385482200","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"164","20:09:10.385495900","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"165","20:09:10.385496000","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"166","20:09:10.385574200","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
